,"Instructions
Enter stock symbol in cell B4",
,,
,,
,mstr,
,,
,,
,MicroStrategy Inc,
,,
,Current Price,
,273.38,
,,
,,
,Market Cap,
,"3,157M",
,,
,,
,,
,mstr,
,,
,,
,,
,,
,,
,,
,,
,,
,Date,Close
,"Oct 9, 2018",130.71
,"Oct 10, 2018",126.72
,"Oct 11, 2018",126.8
,"Oct 12, 2018",127.28
,"Oct 15, 2018",128.01
,"Oct 16, 2018",131.15
,"Oct 17, 2018",130.54
,"Oct 18, 2018",128.27
,"Oct 19, 2018",126.48
,"Oct 22, 2018",127.58
,"Oct 23, 2018",126.87
,"Oct 24, 2018",121.25
,"Oct 25, 2018",123.25
,"Oct 26, 2018",122.49
,"Oct 29, 2018",121.71
,"Oct 30, 2018",124.04
,"Oct 31, 2018",125.97
,"Nov 1, 2018",125.63
,"Nov 2, 2018",126.73
,"Nov 5, 2018",126.64
,"Nov 6, 2018",126.33
,"Nov 7, 2018",129.86
,"Nov 8, 2018",128.51
,"Nov 9, 2018",128.28
,"Nov 12, 2018",126.59
,"Nov 13, 2018",125.91
,"Nov 14, 2018",125.45
,"Nov 15, 2018",127.42
,"Nov 16, 2018",127.08
,"Nov 19, 2018",124.45
,"Nov 20, 2018",123.02
,"Nov 21, 2018",125.18
,"Nov 23, 2018",124.35
,"Nov 26, 2018",126.08
,"Nov 27, 2018",125.28
,"Nov 28, 2018",127.46
,"Nov 29, 2018",127.76
,"Nov 30, 2018",129.64
,"Dec 3, 2018",131.07
,"Dec 4, 2018",126.71
,"Dec 6, 2018",127.65
,"Dec 7, 2018",127.58
,"Dec 10, 2018",127.64
,"Dec 11, 2018",126.99
,"Dec 12, 2018",127.85
,"Dec 13, 2018",128.1
,"Dec 14, 2018",126.92
,"Dec 17, 2018",122.82
,"Dec 18, 2018",123.35
,"Dec 19, 2018",122.83
,"Dec 20, 2018",120.61
,"Dec 21, 2018",116.58
,"Dec 24, 2018",116.7
,"Dec 26, 2018",121.09
,"Dec 27, 2018",125.95
,"Dec 28, 2018",126.88
,"Dec 31, 2018",127.75
,"Jan 2, 2019",128.57
,"Jan 3, 2019",126.57
,"Jan 4, 2019",130.4
,"Jan 7, 2019",131.23
,"Jan 8, 2019",132.31
,"Jan 9, 2019",131.58
,"Jan 10, 2019",132.51
,"Jan 11, 2019",133.86
,"Jan 14, 2019",132.11
,"Jan 15, 2019",134.31
,"Jan 16, 2019",133.84
,"Jan 17, 2019",134.88
,"Jan 18, 2019",136.32
,"Jan 22, 2019",137.24
,"Jan 23, 2019",137.48
,"Jan 24, 2019",138.28
,"Jan 25, 2019",139.4
,"Jan 28, 2019",138.51
,"Jan 29, 2019",138.27
,"Jan 30, 2019",127.37
,"Jan 31, 2019",126.89
,"Feb 1, 2019",128.04
,"Feb 4, 2019",130.05
,"Feb 5, 2019",132.15
,"Feb 6, 2019",128.27
,"Feb 7, 2019",129.14
,"Feb 8, 2019",130.78
,"Feb 11, 2019",136.8
,"Feb 12, 2019",142.11
,"Feb 13, 2019",140.43
,"Feb 14, 2019",140.06
,"Feb 15, 2019",141.06
,"Feb 19, 2019",141.91
,"Feb 20, 2019",140.42
,"Feb 21, 2019",143.13
,"Feb 22, 2019",145.41
,"Feb 25, 2019",146.19
,"Feb 26, 2019",141.8
,"Feb 27, 2019",141.19
,"Feb 28, 2019",141.5
,"Mar 1, 2019",141.74
,"Mar 4, 2019",139.31
,"Mar 5, 2019",138.66
,"Mar 6, 2019",136.97
,"Mar 7, 2019",137.35
,"Mar 8, 2019",138.12
,"Mar 11, 2019",143
,"Mar 12, 2019",145.19
,"Mar 13, 2019",147.5
,"Mar 14, 2019",148
,"Mar 15, 2019",148.33
,"Mar 18, 2019",147.83
,"Mar 19, 2019",147.4
,"Mar 20, 2019",147.54
,"Mar 21, 2019",149.62
,"Mar 22, 2019",143.83
,"Mar 25, 2019",144.09
,"Mar 26, 2019",145.65
,"Mar 27, 2019",143.62
,"Mar 28, 2019",144.8
,"Mar 29, 2019",144.25
,"Apr 1, 2019",147.34
,"Apr 2, 2019",146.2
,"Apr 3, 2019",147.93
,"Apr 4, 2019",144.57
,"Apr 5, 2019",146.52
,"Apr 8, 2019",144.42
,"Apr 9, 2019",144.13
,"Apr 10, 2019",147.74
,"Apr 11, 2019",148.52
,"Apr 12, 2019",150.65
,"Apr 15, 2019",149.54
,"Apr 16, 2019",151.12
,"Apr 17, 2019",148.11
,"Apr 18, 2019",146.48
,"Apr 22, 2019",147.34
,"Apr 23, 2019",149.16
,"Apr 24, 2019",149.54
,"Apr 25, 2019",148
,"Apr 26, 2019",149.42
,"Apr 29, 2019",149.23
