,"Instructions
Enter stock symbol in cell B4",,,,,POWERED BY
,,,,,,Google Finance
,,,,,,
,nio,<< enter a symbol,,,,
,,"<< optionally, enter an exchange (ex: NASDAQ, NYSE)",,,,
,,,,,,
,Nio Inc - ADR,,,,,
,,,,,,
,Current Price,,Change,% Change,,
,9.27,,+0.53,+6.06%,,
,,,,,,
,,,,,,
,Market Cap,P/E Ratio,Beta,,,
,"107,228M",-,1.93,,,
,,,,,,70 Months
,,,,,,
,,,,,,
,nio,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Date,Open,High,Low,Close,Volume
,"Jan 10, 2020",3.49,3.58,3.40,3.51,"35,762,408"
,"Jan 13, 2020",3.71,3.73,3.52,3.70,"59,974,787"
,"Jan 14, 2020",3.70,3.82,3.61,3.76,"55,273,777"
,"Jan 15, 2020",4.19,4.48,4.00,4.29,"236,357,902"
,"Jan 16, 2020",3.99,4.40,3.91,4.37,"99,336,772"
,"Jan 17, 2020",4.51,4.71,4.46,4.67,"109,601,251"
,"Jan 21, 2020",4.60,5.29,4.52,5.17,"181,423,633"
,"Jan 22, 2020",5.42,5.65,4.69,4.79,"207,132,680"
,"Jan 23, 2020",4.57,4.95,4.31,4.92,"102,535,338"
,"Jan 24, 2020",5.00,5.06,4.51,4.66,"65,537,979"
,"Jan 27, 2020",3.99,4.35,3.84,4.01,"102,028,723"
,"Jan 28, 2020",4.25,4.27,4.03,4.21,"48,979,120"
,"Jan 29, 2020",4.23,4.33,4.02,4.27,"54,690,961"
,"Jan 30, 2020",4.24,4.38,4.01,4.08,"75,009,830"
,"Jan 31, 2020",4.02,4.04,3.67,3.78,"77,923,240"
,"Feb 3, 2020",3.54,4.11,3.52,4.06,"74,051,574"
,"Feb 4, 2020",4.29,4.70,4.16,4.51,"123,640,368"
,"Feb 5, 2020",4.37,4.48,4.13,4.39,"73,632,529"
,"Feb 6, 2020",4.20,4.33,4.05,4.08,"75,641,235"
,"Feb 7, 2020",4.02,4.02,3.74,3.81,"80,780,664"
,"Feb 10, 2020",3.67,3.91,3.62,3.87,"67,157,664"
,"Feb 11, 2020",3.83,4.05,3.80,3.96,"54,097,105"
,"Feb 12, 2020",4.00,4.20,3.98,4.07,"50,975,290"
,"Feb 13, 2020",3.95,4.05,3.86,4.03,"42,411,229"
,"Feb 14, 2020",4.02,4.04,3.75,3.77,"69,655,607"
,"Feb 18, 2020",3.90,3.98,3.76,3.80,"47,957,233"
,"Feb 19, 2020",3.93,4.10,3.86,4.08,"73,256,322"
,"Feb 20, 2020",4.10,4.40,4.01,4.26,"86,873,471"
,"Feb 21, 2020",4.20,4.20,4.02,4.08,"40,482,810"
,"Feb 24, 2020",3.79,3.94,3.76,3.88,"56,247,056"
,"Feb 25, 2020",5.18,5.19,4.24,4.40,"206,259,361"
,"Feb 26, 2020",4.50,4.71,4.30,4.34,"69,730,248"
,"Feb 27, 2020",4.09,4.30,3.92,4.14,"77,846,721"
,"Feb 28, 2020",3.96,4.14,3.87,4.13,"63,782,042"
,"Mar 2, 2020",4.15,4.19,3.90,4.11,"56,063,195"
,"Mar 3, 2020",4.08,4.21,3.95,4.06,"47,644,480"
,"Mar 4, 2020",4.03,4.07,3.77,3.87,"49,465,751"
,"Mar 5, 2020",3.78,3.89,3.68,3.72,"72,697,795"
,"Mar 6, 2020",3.62,3.66,3.42,3.55,"61,238,072"
,"Mar 9, 2020",3.01,3.54,2.99,3.29,"55,305,328"
,"Mar 10, 2020",3.49,3.54,3.29,3.50,"34,928,387"
,"Mar 11, 2020",3.40,3.53,3.26,3.32,"31,602,952"
,"Mar 12, 2020",3.06,3.23,2.98,3.13,"52,438,300"
,"Mar 13, 2020",3.28,3.33,2.99,3.11,"41,770,356"
,"Mar 16, 2020",2.87,3.11,2.75,2.94,"41,266,247"
,"Mar 17, 2020",2.97,3.12,2.79,2.90,"34,862,223"
,"Mar 18, 2020",2.40,2.58,2.11,2.43,"94,431,908"
,"Mar 19, 2020",2.30,2.55,2.23,2.38,"35,499,023"
,"Mar 20, 2020",2.49,2.64,2.35,2.40,"50,528,427"
,"Mar 23, 2020",2.34,2.37,2.15,2.37,"47,435,199"
,"Mar 24, 2020",2.55,2.75,2.40,2.60,"64,750,139"
,"Mar 25, 2020",2.72,2.99,2.60,2.76,"56,588,262"
,"Mar 26, 2020",2.81,3.07,2.78,2.93,"43,672,211"
,"Mar 27, 2020",2.85,2.89,2.76,2.84,"25,131,985"
,"Mar 30, 2020",2.81,2.83,2.70,2.71,"20,115,309"
,"Mar 31, 2020",2.83,2.88,2.68,2.78,"30,261,362"
,"Apr 1, 2020",2.63,2.76,2.60,2.65,"17,153,763"
,"Apr 2, 2020",2.51,2.59,2.22,2.39,"58,942,739"
,"Apr 3, 2020",2.45,2.49,2.33,2.40,"19,519,520"
,"Apr 6, 2020",2.48,2.55,2.40,2.47,"34,866,687"
,"Apr 7, 2020",2.81,2.81,2.65,2.70,"46,149,560"
,"Apr 8, 2020",2.76,2.80,2.71,2.74,"18,312,875"
,"Apr 9, 2020",2.82,2.82,2.63,2.67,"32,810,030"
,"Apr 13, 2020",2.67,2.97,2.63,2.97,"38,421,697"
,"Apr 14, 2020",3.15,3.16,2.92,3.01,"36,479,030"
,"Apr 15, 2020",2.95,3.20,2.88,3.20,"27,529,755"
,"Apr 16, 2020",3.30,3.41,3.20,3.25,"37,801,727"
,"Apr 17, 2020",3.36,3.36,3.15,3.21,"22,031,931"
,"Apr 20, 2020",3.18,3.35,3.05,3.19,"18,691,695"
,"Apr 21, 2020",3.10,3.22,3.01,3.02,"19,789,694"
,"Apr 22, 2020",3.09,3.15,3.05,3.09,"14,539,905"
,"Apr 23, 2020",3.20,3.20,3.05,3.06,"17,434,236"
,"Apr 24, 2020",3.08,3.10,2.91,2.94,"22,126,196"
,"Apr 27, 2020",3.00,3.26,2.95,3.24,"35,641,149"
,"Apr 28, 2020",3.40,3.45,3.20,3.34,"36,326,767"
,"Apr 29, 2020",3.83,3.98,3.59,3.61,"89,238,832"
,"Apr 30, 2020",3.63,3.72,3.37,3.41,"44,540,375"
,"May 1, 2020",3.30,3.33,3.12,3.18,"31,268,889"
,"May 4, 2020",3.08,3.36,3.08,3.34,"23,387,494"
,"May 5, 2020",3.44,3.48,3.28,3.28,"22,315,754"
,"May 6, 2020",3.59,3.65,3.45,3.62,"54,347,841"
,"May 7, 2020",3.63,3.67,3.52,3.63,"26,736,688"
,"May 8, 2020",3.68,3.80,3.60,3.77,"27,861,737"
,"May 11, 2020",3.72,3.77,3.66,3.74,"16,585,587"
,"May 12, 2020",3.74,3.78,3.61,3.62,"21,943,797"
,"May 13, 2020",3.64,3.68,3.32,3.44,"34,034,713"
,"May 14, 2020",3.33,3.52,3.27,3.45,"20,936,412"
,"May 15, 2020",3.37,3.45,3.36,3.37,"13,698,986"
,"May 18, 2020",3.50,3.69,3.50,3.61,"27,830,213"
,"May 19, 2020",3.62,3.75,3.59,3.69,"21,707,392"
,"May 20, 2020",3.76,3.82,3.40,3.48,"52,056,914"
,"May 21, 2020",3.40,3.44,3.23,3.33,"41,628,387"
,"May 22, 2020",3.33,3.34,3.18,3.27,"22,887,346"
,"May 26, 2020",3.42,3.83,3.40,3.82,"59,847,911"
,"May 27, 2020",4.01,4.20,3.90,4.17,"70,718,928"
,"May 28, 2020",3.98,4.12,3.75,3.83,"63,097,393"
,"May 29, 2020",3.82,4.00,3.73,3.98,"50,395,382"
,"Jun 1, 2020",4.00,4.33,3.96,4.26,"69,221,995"
,"Jun 2, 2020",4.36,4.73,4.35,4.70,"82,476,550"
,"Jun 3, 2020",5.00,5.70,4.98,5.60,"199,209,999"
,"Jun 4, 2020",6.01,6.20,5.61,5.97,"173,052,558"
,"Jun 5, 2020",6.03,6.08,5.52,5.59,"90,811,832"
,"Jun 8, 2020",5.81,6.08,5.68,5.97,"85,951,553"
,"Jun 9, 2020",5.84,6.83,5.76,6.68,"136,907,947"
,"Jun 10, 2020",6.72,6.95,6.16,6.30,"100,170,711"
,"Jun 11, 2020",5.79,6.09,5.66,5.91,"126,509,667"
,"Jun 12, 2020",6.20,6.32,5.92,6.10,"59,838,813"
,"Jun 15, 2020",5.97,6.99,5.92,6.83,"113,694,401"
,"Jun 16, 2020",7.43,7.44,6.53,6.99,"130,478,555"
,"Jun 17, 2020",6.93,6.98,6.58,6.84,"58,927,254"
,"Jun 18, 2020",6.80,7.36,6.78,7.18,"78,846,410"
,"Jun 19, 2020",7.36,7.63,7.23,7.34,"84,604,158"
,"Jun 22, 2020",7.86,7.90,7.38,7.43,"112,976,003"
,"Jun 23, 2020",7.55,7.69,7.19,7.23,"79,863,471"
,"Jun 24, 2020",6.93,7.08,6.50,6.86,"103,888,622"
,"Jun 25, 2020",6.66,7.15,6.60,7.08,"46,660,264"
,"Jun 26, 2020",7.03,7.18,6.80,6.90,"33,596,811"
,"Jun 29, 2020",6.98,7.25,6.71,7.23,"46,070,443"
,"Jun 30, 2020",7.21,7.75,7.12,7.72,"84,485,467"
,"Jul 1, 2020",7.79,7.99,7.67,7.91,"64,842,602"
,"Jul 2, 2020",9.05,9.40,8.70,9.38,"221,496,676"
,"Jul 6, 2020",11.05,12.30,10.93,11.51,"329,223,790"
,"Jul 7, 2020",11.26,13.77,10.70,13.22,"444,070,512"
,"Jul 8, 2020",14.10,15.28,12.00,12.88,"570,911,389"
,"Jul 9, 2020",13.50,14.63,13.07,14.57,"316,792,032"
,"Jul 10, 2020",15.61,15.73,14.20,14.98,"318,851,254"
,"Jul 13, 2020",15.26,16.44,13.61,13.84,"313,460,309"
,"Jul 14, 2020",13.25,14.13,12.42,14.09,"196,123,156"
,"Jul 15, 2020",13.82,13.95,12.85,13.52,"114,603,718"
,"Jul 16, 2020",12.46,13.16,12.45,12.94,"134,606,317"
,"Jul 17, 2020",11.86,12.07,10.46,11.09,"290,406,302"
,"Jul 20, 2020",11.42,12.84,11.38,12.82,"155,428,146"
,"Jul 21, 2020",13.45,13.58,12.62,12.88,"128,389,109"
,"Jul 22, 2020",12.38,12.83,11.81,12.38,"112,260,489"
,"Jul 23, 2020",12.59,12.63,11.85,12.15,"95,206,301"
,"Jul 24, 2020",11.38,11.90,10.91,11.82,"93,425,298"
,"Jul 27, 2020",12.03,12.09,11.27,11.69,"64,068,520"
,"Jul 28, 2020",11.48,12.64,11.38,12.27,"90,075,812"
,"Jul 29, 2020",12.65,13.00,12.43,12.70,"69,552,555"
,"Jul 30, 2020",12.62,12.95,12.07,12.20,"64,952,913"
,"Jul 31, 2020",12.41,12.59,11.73,11.94,"61,813,807"
,"Aug 3, 2020",12.53,13.67,12.46,13.60,"122,925,296"
,"Aug 4, 2020",14.46,14.53,13.22,13.64,"125,731,370"
,"Aug 5, 2020",13.41,14.08,13.37,13.92,"60,375,033"
,"Aug 6, 2020",14.10,14.31,13.52,13.84,"49,787,709"
,"Aug 7, 2020",13.54,13.73,13.20,13.42,"57,745,964"
,"Aug 10, 2020",13.94,14.42,13.68,14.21,"84,267,291"
,"Aug 11, 2020",15.30,15.45,12.94,12.99,"181,311,514"
,"Aug 12, 2020",13.37,13.45,12.67,13.36,"77,471,427"
,"Aug 13, 2020",13.45,13.64,13.17,13.36,"50,093,545"
,"Aug 14, 2020",13.18,13.18,12.54,13.10,"63,250,748"
,"Aug 17, 2020",13.07,14.05,13.06,14.05,"78,340,481"
,"Aug 18, 2020",14.23,14.69,13.87,14.30,"69,962,360"
,"Aug 19, 2020",14.29,14.41,13.85,14.06,"41,966,837"
,"Aug 20, 2020",13.85,14.05,13.53,13.78,"50,072,785"
,"Aug 21, 2020",13.64,14.58,13.62,14.12,"70,189,908"
,"Aug 24, 2020",14.63,14.98,14.31,14.97,"98,697,703"
,"Aug 25, 2020",15.08,17.87,15.06,17.84,"299,047,816"
,"Aug 26, 2020",19.01,20.97,18.56,20.44,"364,104,643"
,"Aug 27, 2020",19.99,20.47,18.76,19.88,"199,850,277"
,"Aug 28, 2020",18.87,19.44,18.11,18.50,"155,242,283"
,"Aug 31, 2020",17.19,19.83,16.82,19.03,"226,610,901"
,"Sep 1, 2020",19.45,20.38,18.75,20.12,"137,644,836"
,"Sep 2, 2020",20.92,21.05,18.50,19.90,"153,460,601"
,"Sep 3, 2020",19.09,19.84,18.35,18.70,"128,358,422"
,"Sep 4, 2020",18.54,19.18,15.61,17.98,"163,329,780"
,"Sep 8, 2020",17.17,17.86,16.51,17.03,"89,624,571"
,"Sep 9, 2020",17.90,18.63,17.70,18.09,"90,988,423"
,"Sep 10, 2020",18.49,18.72,17.49,17.74,"79,679,834"
,"Sep 11, 2020",18.00,18.10,17.45,17.97,"55,373,486"
,"Sep 14, 2020",18.18,18.78,17.90,18.73,"68,234,902"
,"Sep 15, 2020",19.10,20.25,18.88,19.19,"111,630,535"
,"Sep 16, 2020",19.27,19.54,18.52,19.01,"57,845,793"
,"Sep 17, 2020",18.26,19.33,18.08,19.30,"55,186,587"
,"Sep 18, 2020",19.72,19.88,18.94,19.41,"54,885,511"
,"Sep 21, 2020",19.05,19.27,17.66,18.81,"75,969,546"
,"Sep 22, 2020",18.48,19.45,18.37,19.23,"61,061,116"
,"Sep 23, 2020",19.22,19.36,17.80,17.96,"70,568,089"
,"Sep 24, 2020",17.32,18.39,16.75,17.85,"71,069,510"
,"Sep 25, 2020",18.02,18.62,17.95,18.32,"44,122,149"
,"Sep 28, 2020",18.88,19.16,18.43,18.81,"42,786,232"
,"Sep 29, 2020",18.76,21.12,18.71,20.85,"164,378,538"
,"Sep 30, 2020",21.72,22.59,20.76,21.22,"183,530,455"
,"Oct 1, 2020",21.68,21.96,20.83,21.76,"79,117,101"
,"Oct 2, 2020",20.83,22.20,20.80,21.18,"92,713,560"
,"Oct 5, 2020",21.66,21.92,21.07,21.59,"60,860,112"
,"Oct 6, 2020",21.71,21.94,20.60,20.67,"73,217,119"
,"Oct 7, 2020",21.06,21.77,20.79,21.56,"59,354,282"
,"Oct 8, 2020",22.05,22.45,21.29,21.44,"77,719,581"
,"Oct 9, 2020",21.62,21.74,21.32,21.47,"37,328,968"
,"Oct 12, 2020",21.88,22.18,21.55,21.85,"45,476,830"
,"Oct 13, 2020",21.86,21.97,21.17,21.62,"42,581,464"
,"Oct 14, 2020",23.98,26.96,23.73,26.50,"387,903,255"
,"Oct 15, 2020",27.20,29.23,25.78,28.07,"385,210,596"
,"Oct 16, 2020",29.18,29.40,27.94,28.48,"186,764,680"
,"Oct 19, 2020",28.21,28.56,27.22,27.63,"115,708,710"
,"Oct 20, 2020",27.42,28.30,27.05,27.96,"105,233,416"
,"Oct 21, 2020",27.90,28.43,27.39,27.86,"65,357,930"
,"Oct 22, 2020",28.15,28.28,26.81,27.38,"72,173,307"
,"Oct 23, 2020",27.37,27.42,26.48,27.16,"51,784,048"
,"Oct 26, 2020",26.61,27.35,25.46,26.01,"72,610,347"
,"Oct 27, 2020",26.21,28.46,26.03,28.44,"104,257,726"
,"Oct 28, 2020",27.92,28.10,26.51,27.51,"89,374,938"
,"Oct 29, 2020",28.52,32.20,28.32,31.99,"214,034,656"
,"Oct 30, 2020",31.39,31.59,30.03,30.58,"136,902,610"
,"Nov 2, 2020",33.95,34.94,31.68,33.32,"265,719,877"
,"Nov 3, 2020",33.57,35.87,32.78,35.50,"217,608,105"
,"Nov 4, 2020",37.44,39.75,35.82,37.71,"339,385,872"
,"Nov 5, 2020",38.78,42.49,38.25,42.35,"302,472,617"
,"Nov 6, 2020",41.09,43.30,40.05,41.63,"288,784,336"
,"Nov 9, 2020",41.65,45.29,40.38,44.02,"218,733,282"
,"Nov 10, 2020",44.50,45.20,38.11,41.55,"237,403,589"
,"Nov 11, 2020",39.71,43.23,38.64,43.08,"179,581,150"
,"Nov 12, 2020",44.48,49.35,43.95,48.30,"348,326,322"
,"Nov 13, 2020",51.29,54.20,40.55,44.56,"579,069,870"
,"Nov 16, 2020",41.12,45.85,41.10,45.58,"306,209,088"
,"Nov 17, 2020",47.57,49.37,44.96,46.59,"345,578,529"
,"Nov 18, 2020",45.75,46.72,42.50,45.06,"271,678,314"
,"Nov 19, 2020",45.36,48.92,44.68,48.45,"233,779,148"
,"Nov 20, 2020",48.27,50.59,47.88,49.25,"209,106,333"
,"Nov 23, 2020",50.86,55.70,50.48,55.38,"270,203,004"
,"Nov 24, 2020",56.99,57.20,51.50,53.51,"243,669,739"
,"Nov 25, 2020",49.98,53.99,49.25,53.69,"204,508,537"
,"Nov 27, 2020",54.86,55.55,52.60,54.00,"105,795,118"
,"Nov 30, 2020",54.21,54.39,48.18,50.53,"179,765,439"
,"Dec 1, 2020",52.02,52.10,44.05,45.36,"248,227,003"
,"Dec 2, 2020",40.16,48.00,38.43,47.98,"313,028,276"
,"Dec 3, 2020",47.90,48.65,45.21,45.35,"173,424,045"
,"Dec 4, 2020",44.66,45.16,41.65,43.04,"191,969,939"
,"Dec 7, 2020",42.50,46.32,42.41,45.11,"165,048,508"
,"Dec 8, 2020",47.21,48.30,45.67,46.56,"115,799,572"
,"Dec 9, 2020",47.08,47.20,42.96,44.01,"121,387,875"
,"Dec 10, 2020",42.44,45.67,41.89,45.22,"107,376,836"
,"Dec 11, 2020",42.48,43.63,41.26,41.98,"147,076,119"
,"Dec 14, 2020",39.94,41.48,39.51,40.98,"171,598,161"
,"Dec 15, 2020",42.47,43.84,41.27,43.50,"132,336,854"
,"Dec 16, 2020",44.25,45.26,43.33,44.67,"120,109,589"
,"Dec 17, 2020",45.17,46.05,43.90,46.00,"130,003,721"
,"Dec 18, 2020",45.89,48.00,45.52,46.72,"126,251,125"
,"Dec 21, 2020",45.63,49.49,45.02,48.95,"132,558,077"
,"Dec 22, 2020",49.61,49.84,46.53,47.58,"117,428,420"
,"Dec 23, 2020",47.48,48.36,45.81,47.01,"81,247,871"
,"Dec 24, 2020",46.88,47.13,45.35,45.77,"60,582,516"
,"Dec 28, 2020",46.67,46.85,43.67,44.06,"105,078,017"
,"Dec 29, 2020",43.70,46.28,42.23,46.14,"120,689,925"
,"Dec 30, 2020",46.50,48.38,45.72,48.38,"116,691,714"
,"Dec 31, 2020",48.46,50.50,47.77,48.74,"129,344,311"
,"Jan 4, 2021",51.20,54.45,50.67,53.49,"213,109,730"
,"Jan 5, 2021",51.97,53.75,50.40,53.20,"147,474,785"
,"Jan 6, 2021",54.02,55.28,49.08,50.50,"176,397,696"
,"Jan 7, 2021",53.05,54.61,52.35,54.28,"119,429,215"
,"Jan 8, 2021",57.76,59.31,55.88,58.92,"218,512,753"
,"Jan 11, 2021",64.95,66.99,62.19,62.70,"279,770,329"
,"Jan 12, 2021",61.42,64.13,60.42,62.04,"184,854,185"
,"Jan 13, 2021",62.94,64.41,61.41,62.15,"116,059,201"
,"Jan 14, 2021",62.63,63.23,60.04,60.87,"99,338,396"
,"Jan 15, 2021",59.84,60.22,55.67,56.27,"132,247,850"
,"Jan 19, 2021",58.21,59.01,56.41,58.44,"99,561,083"
,"Jan 20, 2021",59.85,60.09,56.19,57.71,"94,983,634"
,"Jan 21, 2021",57.02,58.58,55.88,58.34,"73,119,519"
,"Jan 22, 2021",58.95,62.17,58.32,61.95,"133,918,072"
,"Jan 25, 2021",64.05,64.52,58.35,59.99,"111,986,446"
,"Jan 26, 2021",60.04,60.67,58.64,60.31,"70,393,251"
,"Jan 27, 2021",57.95,59.79,56.60,57.15,"73,078,254"
,"Jan 28, 2021",56.76,59.46,55.15,58.37,"73,955,136"
,"Jan 29, 2021",59.03,60.71,56.44,57.00,"78,678,189"
,"Feb 1, 2021",59.07,59.12,54.37,56.99,"79,878,684"
,"Feb 2, 2021",57.06,57.54,54.51,55.77,"66,234,141"
,"Feb 3, 2021",55.96,58.72,54.84,57.98,"80,122,323"
,"Feb 4, 2021",58.79,59.20,57.11,57.60,"48,667,912"
,"Feb 5, 2021",57.74,57.98,56.01,56.67,"43,057,521"
,"Feb 8, 2021",57.08,59.52,56.18,59.07,"64,264,889"
,"Feb 9, 2021",58.95,63.10,58.24,62.84,"97,246,457"
,"Feb 10, 2021",62.55,64.60,60.33,61.26,"90,366,669"
,"Feb 11, 2021",61.69,63.06,59.81,60.27,"55,732,763"
,"Feb 12, 2021",60.26,61.05,59.10,59.85,"40,233,076"
,"Feb 16, 2021",60.40,62.14,58.65,59.23,"55,084,124"
,"Feb 17, 2021",57.92,58.03,55.90,57.32,"64,196,824"
,"Feb 18, 2021",55.45,56.38,52.60,54.43,"62,505,700"
,"Feb 19, 2021",55.72,56.04,54.10,55.04,"43,020,690"
,"Feb 22, 2021",54.18,54.37,50.40,50.68,"68,831,332"
,"Feb 23, 2021",45.62,49.67,41.66,49.11,"142,544,334"
,"Feb 24, 2021",49.31,52.07,47.75,51.86,"82,488,559"
,"Feb 25, 2021",51.60,51.85,46.01,46.81,"95,513,768"
,"Feb 26, 2021",47.00,47.95,44.62,45.78,"100,315,494"
,"Mar 1, 2021",48.55,50.42,47.63,49.76,"94,238,457"
,"Mar 2, 2021",46.11,47.13,42.66,43.29,"161,334,043"
,"Mar 3, 2021",44.58,45.08,41.11,41.53,"107,863,416"
,"Mar 4, 2021",40.49,42.43,37.59,39.28,"205,872,717"
,"Mar 5, 2021",39.24,39.87,31.91,38.11,"270,803,185"
,"Mar 8, 2021",36.97,39.48,34.90,35.21,"143,074,823"
,"Mar 9, 2021",37.48,42.08,36.52,41.35,"176,602,616"
,"Mar 10, 2021",43.50,45.26,40.25,41.32,"190,801,837"
,"Mar 11, 2021",44.44,46.16,42.80,46.03,"134,788,014"
,"Mar 12, 2021",43.51,45.80,42.76,45.50,"113,460,142"
,"Mar 15, 2021",45.55,46.29,44.38,44.93,"74,435,728"
,"Mar 16, 2021",45.04,45.66,43.17,43.68,"84,361,397"
,"Mar 17, 2021",41.90,45.02,41.33,44.76,"96,149,982"
,"Mar 18, 2021",43.30,44.26,41.45,41.63,"71,356,100"
,"Mar 19, 2021",41.44,43.40,40.44,43.35,"97,657,203"
,"Mar 22, 2021",44.07,44.56,42.58,42.94,"72,838,501"
,"Mar 23, 2021",42.58,43.11,40.98,41.18,"58,542,301"
,"Mar 24, 2021",41.20,41.29,36.58,36.96,"130,695,023"
,"Mar 25, 2021",35.24,39.19,35.12,37.94,"118,082,037"
,"Mar 26, 2021",35.65,36.65,34.00,36.13,"163,039,674"
,"Mar 29, 2021",35.26,36.84,34.50,35.51,"83,188,208"
,"Mar 30, 2021",35.20,37.96,34.61,37.55,"106,153,482"
,"Mar 31, 2021",38.96,39.25,37.45,38.98,"98,298,413"
,"Apr 1, 2021",41.56,42.06,39.25,39.66,"116,305,475"
,"Apr 5, 2021",40.54,40.65,38.72,39.31,"71,418,397"
,"Apr 6, 2021",38.83,40.39,38.42,40.00,"67,969,401"
,"Apr 7, 2021",39.70,39.85,36.95,37.27,"80,022,787"
,"Apr 8, 2021",37.62,39.18,37.47,38.70,"63,691,974"
,"Apr 9, 2021",38.35,38.36,37.01,38.12,"69,272,695"
,"Apr 12, 2021",37.96,38.00,36.76,37.14,"53,428,087"
,"Apr 13, 2021",37.48,38.66,37.33,38.48,"62,005,707"
,"Apr 14, 2021",39.23,39.33,36.79,37.02,"78,453,961"
,"Apr 15, 2021",37.02,37.06,34.56,35.66,"100,437,437"
,"Apr 16, 2021",34.69,36.54,34.06,36.09,"84,477,372"
,"Apr 19, 2021",36.78,37.54,35.36,36.78,"92,190,701"
,"Apr 20, 2021",37.17,37.82,35.94,36.93,"71,208,639"
,"Apr 21, 2021",36.53,38.96,36.16,38.90,"77,449,226"
,"Apr 22, 2021",38.99,40.45,38.49,39.57,"115,802,700"
,"Apr 23, 2021",40.20,41.20,39.54,41.08,"70,578,024"
,"Apr 26, 2021",41.96,43.22,40.86,42.62,"88,233,498"
,"Apr 27, 2021",43.02,43.13,41.02,41.21,"69,998,797"
,"Apr 28, 2021",40.74,41.95,40.44,41.19,"57,639,580"
,"Apr 29, 2021",41.38,41.49,38.73,38.99,"82,660,721"
,"Apr 30, 2021",37.73,41.22,37.35,39.84,"116,728,743"
,"May 3, 2021",40.34,41.45,39.31,39.54,"80,089,609"
,"May 4, 2021",38.99,39.32,36.92,37.93,"78,256,842"
,"May 5, 2021",38.34,38.55,37.46,37.71,"24,239,079"
,"May 6, 2021",37.49,38.04,35.77,36.68,"71,655,969"
,"May 7, 2021",37.17,38.04,36.62,36.94,"55,551,679"
,"May 10, 2021",36.78,36.79,34.30,34.33,"92,293,915"
,"May 11, 2021",32.45,35.46,32.20,34.87,"113,418,875"
,"May 12, 2021",34.38,35.13,33.48,33.68,"75,993,697"
,"May 13, 2021",33.85,34.27,30.71,31.22,"113,686,701"
,"May 14, 2021",31.94,33.69,31.56,33.42,"80,214,305"
,"May 17, 2021",33.33,34.16,32.82,33.81,"64,020,013"
,"May 18, 2021",34.01,34.78,33.26,34.19,"64,929,533"
,"May 19, 2021",32.98,33.46,32.59,33.46,"68,799,779"
,"May 20, 2021",33.98,34.51,33.64,34.33,"48,991,744"
,"May 21, 2021",34.66,34.78,33.87,34.06,"49,568,794"
,"May 24, 2021",34.26,36.49,33.56,35.89,"67,244,425"
,"May 25, 2021",36.32,37.64,35.69,36.07,"76,628,027"
,"May 26, 2021",36.25,38.08,36.07,37.76,"55,928,956"
,"May 27, 2021",37.95,38.98,37.18,38.91,"53,064,377"
,"May 28, 2021",38.74,39.76,38.17,38.62,"58,235,958"
,"Jun 1, 2021",39.99,42.44,39.94,42.34,"101,544,050"
,"Jun 2, 2021",42.15,42.88,40.95,41.16,"66,383,529"
,"Jun 3, 2021",40.68,42.37,40.31,40.90,"62,437,181"
,"Jun 4, 2021",41.43,42.33,41.15,41.94,"40,993,649"
,"Jun 7, 2021",41.67,43.90,41.44,43.68,"53,261,315"
,"Jun 8, 2021",44.46,44.89,42.82,43.56,"50,332,250"
,"Jun 9, 2021",43.53,44.44,42.73,42.74,"36,363,974"
,"Jun 10, 2021",42.67,43.43,42.16,42.76,"34,757,316"
,"Jun 11, 2021",42.93,46.26,42.76,45.68,"85,733,888"
,"Jun 14, 2021",45.95,47.25,45.58,46.55,"65,288,403"
,"Jun 15, 2021",46.21,46.38,45.04,45.15,"44,755,616"
,"Jun 16, 2021",44.23,45.13,43.77,45.02,"47,381,522"
,"Jun 17, 2021",45.05,47.76,44.86,47.36,"64,895,522"
,"Jun 18, 2021",47.68,48.37,46.59,46.91,"90,778,425"
,"Jun 21, 2021",46.55,46.99,45.07,46.51,"44,475,666"
,"Jun 22, 2021",45.86,46.55,43.81,44.10,"61,387,323"
,"Jun 23, 2021",44.97,45.98,44.61,45.41,"39,493,502"
,"Jun 24, 2021",45.91,46.59,45.24,45.46,"37,680,663"
,"Jun 25, 2021",45.78,45.94,44.88,45.07,"32,605,434"
,"Jun 28, 2021",45.72,49.65,45.55,49.40,"90,202,839"
,"Jun 29, 2021",49.15,50.61,48.55,50.34,"64,800,079"
,"Jun 30, 2021",50.58,53.84,50.55,53.20,"92,031,135"
,"Jul 1, 2021",54.77,55.13,50.27,50.90,"124,531,435"
,"Jul 2, 2021",51.26,51.47,48.53,50.40,"78,731,636"
,"Jul 6, 2021",49.40,51.74,49.18,50.29,"67,705,501"
,"Jul 7, 2021",50.20,50.55,45.75,46.04,"85,812,809"
,"Jul 8, 2021",43.86,46.26,42.73,45.60,"93,774,764"
,"Jul 9, 2021",46.71,47.01,44.58,45.53,"64,622,753"
,"Jul 12, 2021",45.97,46.82,44.60,46.34,"54,668,293"
,"Jul 13, 2021",46.20,46.91,44.93,44.96,"44,689,113"
,"Jul 14, 2021",44.84,45.17,42.68,43.05,"56,805,753"
,"Jul 15, 2021",43.26,44.77,42.68,43.68,"55,860,363"
