,"Instructions
Enter stock symbol in cell B4",,,,,POWERED BY
,,,,,,Google Finance
,,,,,,
,nio,<< enter a symbol,,,,
,,"<< optionally, enter an exchange (ex: NASDAQ, NYSE)",,,,
,,,,,,
,Nio Inc - ADR,,,,,
,,,,,,
,Current Price,,Change,% Change,,
,9.27,,+0.53,+6.06%,,
,,,,,,
,,,,,,
,Market Cap,P/E Ratio,Beta,,,
,"107,228M",-,1.93,,,
,,,,,,70 Months
,,,,,,
,,,,,,
,nio,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Date,Open,High,Low,Close,Volume
,"Jan 7, 2019",6.41,6.59,6.31,6.50,"9,709,046"
,"Jan 8, 2019",6.57,6.58,6.17,6.40,"9,603,777"
,"Jan 9, 2019",6.41,6.69,6.35,6.63,"11,489,874"
,"Jan 10, 2019",6.63,6.73,6.41,6.66,"11,221,122"
,"Jan 11, 2019",6.50,6.62,6.48,6.59,"6,902,293"
,"Jan 14, 2019",6.51,7.15,6.37,6.80,"19,454,079"
,"Jan 15, 2019",6.85,7.07,6.75,6.82,"12,632,982"
,"Jan 16, 2019",6.80,6.90,6.68,6.71,"6,941,150"
,"Jan 17, 2019",6.70,6.88,6.53,6.81,"8,508,909"
,"Jan 18, 2019",6.89,6.91,6.68,6.71,"9,240,851"
,"Jan 22, 2019",6.63,6.67,6.51,6.57,"6,379,619"
,"Jan 23, 2019",6.63,6.79,6.47,6.55,"5,685,964"
,"Jan 24, 2019",6.47,6.75,6.47,6.58,"5,919,985"
,"Jan 25, 2019",6.65,6.78,6.60,6.65,"6,726,949"
,"Jan 28, 2019",6.56,6.68,6.48,6.67,"5,111,018"
,"Jan 29, 2019",6.68,6.97,6.64,6.94,"14,200,087"
,"Jan 30, 2019",6.94,7.55,6.92,7.46,"28,775,026"
,"Jan 31, 2019",7.40,7.89,7.40,7.88,"21,233,857"
,"Feb 1, 2019",7.85,8.11,7.68,7.90,"20,788,847"
,"Feb 4, 2019",7.96,7.98,7.74,7.85,"8,585,348"
,"Feb 5, 2019",7.71,7.96,7.61,7.88,"9,029,887"
,"Feb 6, 2019",7.95,8.59,7.83,8.40,"33,404,746"
,"Feb 7, 2019",8.28,8.37,7.80,8.04,"23,198,212"
,"Feb 8, 2019",8.00,8.00,7.28,7.67,"21,709,346"
,"Feb 11, 2019",7.67,7.77,7.38,7.46,"9,750,733"
,"Feb 12, 2019",7.35,7.57,7.14,7.44,"13,264,105"
,"Feb 13, 2019",7.52,7.68,7.39,7.49,"10,867,810"
,"Feb 14, 2019",7.70,7.78,7.42,7.48,"14,728,317"
,"Feb 15, 2019",7.55,7.64,7.26,7.41,"15,620,191"
,"Feb 19, 2019",7.40,7.43,7.21,7.26,"9,974,748"
,"Feb 20, 2019",7.26,7.77,7.26,7.62,"21,495,721"
,"Feb 21, 2019",7.70,7.73,7.43,7.64,"8,060,138"
,"Feb 22, 2019",7.92,8.22,7.75,8.17,"26,600,350"
,"Feb 25, 2019",9.04,9.09,8.60,9.00,"52,424,249"
,"Feb 26, 2019",9.16,10.64,8.82,9.79,"106,022,591"
,"Feb 27, 2019",10.15,10.25,9.33,9.85,"53,234,270"
,"Feb 28, 2019",9.85,9.93,9.46,9.57,"26,506,014"
,"Mar 1, 2019",9.82,10.20,9.73,10.06,"32,409,414"
,"Mar 4, 2019",10.32,10.37,9.15,9.78,"43,753,280"
,"Mar 5, 2019",9.80,10.63,9.70,10.16,"53,680,765"
,"Mar 6, 2019",8.26,8.72,8.00,8.01,"73,522,653"
,"Mar 7, 2019",7.81,7.95,7.00,7.09,"52,469,571"
,"Mar 8, 2019",7.02,7.20,6.85,7.06,"32,040,585"
,"Mar 11, 2019",6.95,6.98,6.55,6.59,"62,544,507"
,"Mar 12, 2019",6.62,6.64,6.37,6.39,"41,615,989"
,"Mar 13, 2019",6.32,6.77,6.24,6.53,"41,727,215"
,"Mar 14, 2019",6.63,6.64,6.00,6.03,"58,983,387"
,"Mar 15, 2019",6.12,6.13,5.71,5.71,"85,776,969"
,"Mar 18, 2019",5.69,5.95,5.44,5.75,"76,506,119"
,"Mar 19, 2019",5.75,6.03,5.73,5.96,"54,509,153"
,"Mar 20, 2019",6.02,6.03,5.71,5.85,"39,053,693"
,"Mar 21, 2019",5.75,5.95,5.74,5.84,"21,368,941"
,"Mar 22, 2019",5.80,5.87,5.60,5.62,"24,956,464"
,"Mar 25, 2019",5.62,5.66,5.27,5.35,"38,993,269"
,"Mar 26, 2019",5.20,5.22,4.90,4.96,"67,206,268"
,"Mar 27, 2019",5.01,5.19,4.96,4.98,"39,753,377"
,"Mar 28, 2019",5.04,5.17,4.93,5.01,"29,458,068"
,"Mar 29, 2019",5.06,5.13,5.03,5.10,"23,595,909"
,"Apr 1, 2019",5.29,5.40,5.14,5.21,"32,404,597"
,"Apr 2, 2019",5.43,5.61,5.35,5.39,"55,814,771"
,"Apr 3, 2019",5.55,5.58,5.23,5.31,"35,320,203"
,"Apr 4, 2019",5.39,5.50,5.27,5.35,"31,696,613"
,"Apr 5, 2019",5.37,5.40,5.31,5.36,"18,093,412"
,"Apr 8, 2019",5.33,5.38,5.25,5.30,"17,349,772"
,"Apr 9, 2019",5.28,5.28,5.06,5.08,"32,590,061"
,"Apr 10, 2019",5.06,5.11,4.96,5.05,"25,958,722"
,"Apr 11, 2019",5.00,5.09,4.97,5.01,"17,642,573"
,"Apr 12, 2019",5.03,5.06,4.95,4.99,"15,561,263"
,"Apr 15, 2019",4.99,5.00,4.72,4.75,"27,489,142"
,"Apr 16, 2019",4.80,4.81,4.43,4.45,"46,354,509"
,"Apr 17, 2019",4.61,4.72,4.51,4.59,"30,546,383"
,"Apr 18, 2019",4.53,4.92,4.44,4.79,"31,206,503"
,"Apr 22, 2019",4.74,4.81,4.62,4.78,"12,936,684"
,"Apr 23, 2019",4.82,4.92,4.73,4.83,"15,106,971"
,"Apr 24, 2019",4.79,5.01,4.75,5.00,"20,401,275"
,"Apr 25, 2019",5.01,5.15,4.85,4.90,"21,552,804"
,"Apr 26, 2019",4.85,4.93,4.77,4.92,"11,891,337"
,"Apr 29, 2019",4.89,5.05,4.87,4.98,"15,202,827"
,"Apr 30, 2019",4.98,5.08,4.80,4.85,"14,434,585"
,"May 1, 2019",4.84,4.85,4.68,4.68,"13,308,347"
,"May 2, 2019",4.74,4.75,4.57,4.72,"14,080,431"
,"May 3, 2019",4.73,5.11,4.73,5.02,"25,245,547"
,"May 6, 2019",4.72,4.88,4.69,4.88,"16,144,442"
,"May 7, 2019",4.81,4.92,4.76,4.84,"11,545,700"
,"May 8, 2019",4.79,4.81,4.56,4.57,"20,456,913"
,"May 9, 2019",4.54,4.70,4.51,4.60,"15,759,712"
,"May 10, 2019",4.60,4.66,4.51,4.56,"17,146,542"
,"May 13, 2019",4.50,4.50,4.30,4.33,"21,804,468"
,"May 14, 2019",4.47,4.67,4.41,4.67,"27,925,652"
,"May 15, 2019",4.59,4.75,4.53,4.71,"14,668,954"
,"May 16, 2019",4.65,4.85,4.61,4.66,"16,197,999"
,"May 17, 2019",4.58,4.70,4.42,4.42,"19,775,669"
,"May 20, 2019",4.38,4.40,4.11,4.25,"23,571,672"
,"May 21, 2019",4.35,4.45,4.25,4.29,"23,435,345"
,"May 22, 2019",4.25,4.30,4.00,4.05,"35,451,326"
,"May 23, 2019",3.96,4.03,3.83,3.93,"27,855,521"
,"May 24, 2019",3.98,4.05,3.81,3.86,"26,069,358"
,"May 28, 2019",4.12,4.14,3.88,4.00,"114,474,424"
